"CSI_DATA,1868,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,80932451,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,1,3,4,15,5,15,5,15,5,15,5,14,5,14,5,14,5,13,5,13,6,13,6,13,7,13,7,13,7,12,7,12,8,13,8,12,8,11,8,11,8,11,7,11,8,10,8,10,9,10,10,11,10,11,5,5,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,12,11,12,11,12,12,12,11,12,11,12,12,12,13,13,14,12,14,12,14,12,14,11,14,11,14,10,14,10,14,10,15,9,15,9,16,2,4,0,0,0,0,0,0,0,0,-1,-1,0,3,2,30,3,31,4,32,5,31,7,29,7,29,8,29,8,28,8,27,9,26,9,26,9,26,9,25,10,25,11,25,12,26,12,25,12,24,12,24,13,25,14,25,14,23,14,22,14,22,13,21,14,21,15,21,17,21,17,22,18,22,18,24,19,21,19,21,20,21,21,21,21,21,20,22,20,22,20,22,21,22,22,23,22,23,22,23,23,23,23,25,22,26,22,27,22,27,22,27,21,28,20,28,19,29,18,28,18,28,17,29,17,30,16,31,3,7,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,0,-41,0,-42,-2,-42,-3,-42,-4,-41,-5,-39,-7,-39,-8,-38,-8,-38,-10,-38,-10,-39,-11,-40,-11,-39,-11,-37,-12,-37,-12,-37,-13,-36,-13,-34,-12,-33,-12,-32,-12,-32,-12,-32,-12,-32,-12,-32,-12,-33,-12,-33,-11,-33,-12,-31,-9,-31,-9,-32,-8,-32,-7,-32,-7,-31,-8,-31,-7,-31,-6,-31,-5,-32,-4,-32,-3,-32,-2,-32,-2,-33,-1,-33,-1,-34,-1,-33,-1,-33,0,-32,1,-32,2,-32,2,-32,2,-32,3,-32,4,-32,4,-33,4,-33,2,-35,2,-35,2,-34,2,-5,0]"""
"CSI_DATA,1869,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,80983466,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-3,2,-12,8,-12,9,-12,9,-12,9,-11,9,-11,9,-11,9,-10,9,-10,9,-10,9,-10,9,-10,10,-10,10,-9,9,-9,9,-9,10,-9,10,-8,10,-8,10,-8,10,-8,10,-7,10,-7,10,-7,11,-7,11,-8,12,-4,6,-7,12,-7,12,-7,13,-7,13,-7,13,-7,13,-7,13,-7,13,-7,13,-7,14,-8,14,-7,14,-8,14,-8,14,-9,14,-9,15,-9,15,-10,14,-10,14,-10,13,-10,13,-11,13,-11,12,-12,12,-12,12,-12,12,-3,3,0,0,0,0,0,0,0,0,-1,-1,-4,1,-26,11,-26,12,-26,13,-25,14,-23,15,-23,15,-23,15,-22,15,-21,16,-20,15,-20,16,-20,16,-19,16,-19,16,-19,17,-19,18,-19,17,-18,17,-17,17,-18,18,-18,19,-16,18,-15,18,-15,18,-15,18,-15,19,-14,19,-14,20,-14,21,-14,22,-15,23,-13,22,-13,23,-13,24,-13,24,-13,24,-13,24,-13,24,-13,24,-13,25,-14,26,-15,26,-15,25,-15,26,-16,27,-17,27,-17,27,-18,27,-18,27,-18,26,-19,25,-20,25,-20,24,-20,23,-21,23,-22,23,-23,22,-6,5,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-5,-9,-17,-34,-16,-35,-15,-36,-14,-36,-12,-35,-10,-35,-10,-34,-9,-35,-7,-35,-7,-35,-7,-36,-6,-37,-5,-36,-5,-35,-4,-35,-4,-35,-3,-35,-3,-33,-3,-31,-2,-31,-2,-31,-2,-31,-2,-30,-2,-30,-2,-31,-3,-31,-1,-31,-4,-29,-4,-29,-5,-29,-6,-29,-6,-29,-6,-29,-6,-28,-6,-28,-7,-28,-8,-28,-9,-28,-10,-27,-10,-27,-10,-28,-11,-28,-11,-28,-11,-28,-12,-27,-12,-26,-13,-26,-13,-26,-13,-26,-13,-25,-14,-25,-14,-26,-14,-26,-12,-27,-12,-29,-13,-29,-13,-28,-2,-4]"""
"CSI_DATA,1870,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81034449,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-3,-4,-10,-13,-10,-13,-11,-13,-10,-13,-10,-13,-10,-12,-10,-12,-10,-12,-10,-11,-11,-11,-11,-11,-12,-11,-12,-11,-11,-10,-11,-10,-12,-10,-12,-10,-12,-9,-12,-8,-12,-8,-12,-8,-12,-8,-12,-8,-13,-8,-14,-8,-14,-9,-8,-4,-15,-8,-15,-8,-15,-8,-15,-7,-15,-7,-15,-8,-15,-8,-15,-8,-16,-8,-16,-8,-17,-8,-16,-8,-16,-8,-17,-9,-17,-10,-17,-10,-17,-10,-17,-10,-16,-11,-16,-11,-15,-11,-15,-11,-15,-12,-15,-12,-15,-13,-14,-13,-4,-4,0,0,0,0,0,0,0,0,-1,-1,1,-4,15,-27,14,-28,14,-30,13,-29,-3,-26,-3,-26,-3,-26,-4,-26,-4,-25,-5,-24,-5,-24,-6,-24,-5,-23,-6,-23,-7,-23,-7,-25,-7,-24,-7,-23,-8,-23,-9,-24,-8,-24,-9,-22,-9,-21,-9,-21,-9,-20,-10,-20,-10,-20,-11,-21,-13,-22,-13,-22,-2,-31,-14,-21,-14,-22,-15,-22,-16,-22,-15,-22,-14,-22,-14,-22,-14,-22,-15,-23,-16,-24,-16,-24,-16,-24,-16,-25,-16,-26,-15,-27,-14,-27,-15,-27,-14,-27,-14,-27,-13,-28,-12,-28,-12,-28,-12,-27,-11,-28,-10,-29,-9,-30,-3,-8,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,8,0,34,3,34,4,33,6,33,7,32,8,31,9,30,9,30,10,29,12,29,12,30,12,31,12,30,13,29,13,28,13,28,14,27,15,25,14,24,13,24,13,24,13,24,13,23,12,24,12,25,12,25,12,20,26,23,10,24,10,24,9,24,9,24,9,23,9,23,8,23,8,23,8,24,7,25,6,25,5,26,5,26,5,26,5,26,5,25,4,25,2,25,2,25,1,26,1,25,2,24,0,25,-1,26,0,26,0,27,16,29,16,30,17,29,16,3,1]"""
"CSI_DATA,1871,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81085453,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-4,0,-17,0,-17,1,-17,1,-17,1,-16,0,-16,1,-16,1,-16,1,-15,2,-15,2,-16,2,-16,2,-16,2,-15,2,-15,3,-15,3,-15,4,-14,4,-14,4,-14,4,-14,4,-14,4,-13,5,-14,5,-15,5,-15,5,-8,3,-15,6,-15,6,-16,7,-15,7,-15,7,-15,7,-16,7,-16,7,-16,7,-16,7,-16,7,-16,7,-16,7,-17,7,-18,6,-19,6,-19,6,-19,6,-19,5,-18,5,-18,4,-18,4,-19,4,-19,3,-19,2,-19,2,-5,0,0,0,0,0,0,0,0,0,-1,0,-4,-1,-32,-1,-32,0,-33,1,-32,2,-31,2,-31,2,-31,2,-31,2,-30,3,-29,3,-29,4,-29,4,-28,4,-28,4,-29,5,-29,6,-29,6,-28,6,-28,7,-29,7,-28,8,-26,8,-26,9,-26,9,-26,9,-26,9,-26,10,-26,11,-27,11,-28,12,-28,13,-26,13,-27,13,-27,14,-27,15,-28,15,-28,14,-28,15,-28,15,-29,15,-30,15,-30,14,-30,14,-31,15,-32,14,-33,14,-34,13,-34,13,-34,13,-34,12,-34,11,-34,10,-34,9,-34,8,-35,7,-35,6,-36,5,-9,1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-11,1,-42,2,-42,3,-42,5,-42,6,-40,7,-39,8,-38,9,-38,10,-38,11,-37,12,-39,12,-39,13,-38,13,-37,14,-36,15,-36,15,-35,14,-33,13,-32,14,-32,13,-32,13,-31,13,-30,13,-30,14,-32,13,-32,12,-32,11,-30,11,-30,10,-31,9,-31,9,-31,9,-30,8,-30,8,-30,8,-30,7,-31,6,-31,5,-31,5,-32,5,-32,5,-33,5,-33,4,-33,3,-33,2,-32,1,-32,1,-32,1,-32,0,-32,0,-32,0,-33,0,-33,1,-33,1,-35,0,-35,-1,-33,-1,-5]"""
"CSI_DATA,1872,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81136451,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-1,1,-2,7,-2,7,-2,7,-2,7,-2,7,-2,7,-2,7,-2,7,-2,6,-2,6,-2,7,-1,7,-1,7,-1,7,-1,7,-1,7,0,7,0,7,0,6,0,6,-1,6,0,6,0,6,0,7,0,7,0,7,0,3,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,8,1,8,1,8,1,8,1,8,1,8,1,8,0,9,0,9,0,9,0,9,-1,9,-1,9,-1,9,-1,9,-1,9,-2,9,-2,9,-2,9,-1,2,0,0,0,0,0,0,0,0,-1,1,-3,4,-12,27,-11,28,-10,28,-9,29,-8,27,-8,27,-8,27,-8,27,-7,26,-7,26,-6,26,-6,25,-6,25,-5,26,-5,27,-4,27,-4,26,-3,26,-2,26,-2,27,-1,27,0,26,0,25,0,25,0,25,1,25,1,25,2,26,3,27,3,27,5,28,5,27,6,27,6,27,6,28,5,29,5,28,4,28,4,29,5,30,5,31,6,31,6,31,6,32,5,33,4,34,3,34,3,34,2,35,1,34,0,34,0,34,-1,34,-2,34,-3,34,-4,34,-5,34,-2,10,-1,1,-1,-1,0,-2,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-9,-5,-35,-19,-34,-20,-33,-21,-32,-22,-31,-23,-30,-24,-29,-24,-27,-25,-27,-26,-26,-26,-27,-27,-28,-27,-27,-27,-26,-27,-25,-26,-25,-27,-24,-27,-22,-26,-21,-25,-20,-25,-20,-25,-21,-25,-21,-24,-21,-24,-22,-25,-22,-25,-21,-24,-21,-22,-22,-21,-23,-21,-23,-20,-23,-21,-22,-21,-22,-21,-22,-20,-23,-19,-25,-19,-25,-17,-25,-17,-26,-16,-26,-16,-27,-16,-28,-16,-28,-16,-27,-15,-26,-14,-27,-14,-27,-14,-27,-13,-28,-13,-28,-12,-29,-12,-29,-13,-29,-13,-30,-14,-30,-14,-30,-13,-4,-2]"""
"CSI_DATA,1873,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81187470,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-4,2,-14,8,-14,9,-14,9,-14,9,-14,8,-13,9,-13,9,-13,9,-12,9,-12,9,-13,9,-13,10,-12,10,-11,9,-11,10,-11,11,-11,11,-10,11,-9,11,-10,11,-9,11,-9,11,-9,11,-9,12,-9,12,-10,12,-5,6,-9,13,-9,13,-9,14,-9,14,-8,14,-9,14,-9,14,-8,14,-8,15,-9,15,-9,15,-9,15,-9,15,-10,15,-10,16,-11,16,-11,16,-11,16,-11,16,-11,15,-12,15,-12,14,-12,14,-13,14,-14,13,-14,13,-4,3,0,0,0,0,0,0,0,0,-1,-1,-4,1,-29,12,-30,13,-30,14,-29,15,-27,15,-27,16,-27,16,-27,16,-25,16,-24,16,-24,16,-23,17,-23,17,-23,17,-23,18,-23,19,-23,18,-21,18,-21,19,-22,20,-21,20,-19,20,-18,20,-18,20,-18,20,-18,20,-18,21,-18,22,-18,23,-18,24,-18,24,-16,24,-16,25,-16,26,-16,27,-16,26,-17,27,-17,27,-16,26,-17,27,-18,28,-18,28,-18,28,-18,28,-19,29,-21,29,-21,29,-21,29,-22,29,-22,28,-22,27,-23,27,-24,26,-24,25,-25,25,-26,25,-27,24,-7,6,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-4,-10,-14,-39,-13,-40,-11,-41,-10,-41,-9,-40,-7,-40,-6,-39,-5,-39,-4,-39,-3,-40,-3,-41,-2,-41,-1,-41,-1,-39,-1,-39,0,-39,0,-39,0,-36,0,-35,1,-35,1,-35,1,-35,1,-34,1,-34,1,-35,0,-35,-1,-34,-2,-32,-2,-33,-3,-33,-4,-33,-3,-33,-3,-32,-4,-32,-4,-31,-5,-32,-6,-32,-7,-32,-8,-31,-9,-31,-9,-32,-10,-32,-10,-33,-10,-32,-11,-31,-12,-30,-12,-30,-13,-30,-13,-30,-13,-30,-14,-30,-14,-30,-14,-30,-13,-31,-14,-33,-14,-33,-15,-32,-2,-4]"""
"CSI_DATA,1874,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81238462,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,1,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,-1,7,-1,7,-1,7,-1,6,-1,6,-1,7,-1,7,-2,6,-2,6,-2,6,-2,6,-1,6,-2,6,-2,6,-2,7,-2,7,-2,3,-2,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,8,-3,8,-3,7,-3,7,-3,8,-3,8,-3,9,-3,9,-3,9,-2,9,-2,8,-2,8,-2,8,-2,9,-1,9,-1,9,-1,8,-1,2,-1,0,0,0,0,0,0,0,0,1,0,4,1,29,6,29,5,29,4,29,3,29,2,29,2,28,2,28,1,27,0,26,0,26,-1,26,-1,26,-1,26,-1,27,-2,27,-2,26,-2,26,-3,26,-4,27,-5,26,-6,25,-6,24,-6,24,-6,24,-6,24,-7,24,-7,25,-8,26,-9,26,-9,27,-11,25,-11,25,-12,25,-12,26,-13,27,-12,27,-12,27,-12,27,-12,28,-12,29,-12,29,-12,28,-13,30,-13,31,-13,31,-12,32,-11,32,-10,32,-10,33,-9,32,-8,32,-7,32,-7,32,-6,32,-5,32,-4,32,-4,9,-2,1,-1,-1,0,-2,0,0,0,0,0,-1,-1,0,-2,0,-1,-1,1,-4,10,-12,36,-13,36,-15,36,-16,35,-16,34,-17,32,-17,31,-18,30,-19,30,-21,30,-22,31,-22,31,-22,29,-22,29,-22,29,-23,28,-23,27,-22,25,-21,25,-21,24,-20,24,-21,24,-21,23,-21,24,-21,25,-20,25,-20,25,-18,25,-18,25,-17,25,-17,26,-16,25,-16,25,-16,24,-15,24,-15,25,-15,26,-14,26,-13,26,-12,27,-12,28,-12,28,-12,28,-11,28,-10,28,-10,27,-9,27,-9,28,-9,28,-8,28,-8,29,-8,29,-7,29,-7,31,-7,31,-8,31,-7,31,-2,5]"""
"CSI_DATA,1875,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81289468,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,0,-2,2,-8,1,-8,1,-8,2,-8,1,-8,1,-8,1,-8,1,-8,1,-7,1,-7,0,-8,1,-8,0,-8,0,-8,0,-8,0,-8,0,-8,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-8,-1,-8,-1,-4,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-9,-2,-9,-2,-9,-2,-9,-2,-9,-2,-9,-2,-10,-2,-10,-2,-10,-1,-9,-1,-9,-1,-10,-1,-10,-1,-10,-1,-10,0,-10,0,-10,0,-3,0,0,0,0,0,0,0,0,0,-2,2,-5,14,-26,14,-27,13,-27,11,-28,9,-28,9,-28,9,-28,8,-28,7,-27,6,-26,5,-27,5,-26,5,-26,5,-27,4,-28,4,-28,4,-27,3,-27,2,-28,2,-28,1,-28,0,-27,-1,-26,-1,-26,-1,-26,-1,-26,-1,-27,-2,-28,-3,-29,-3,-29,-2,-30,-5,-28,-5,-29,-6,-29,-7,-29,-6,-29,-6,-30,-6,-30,-6,-30,-6,-31,-6,-32,-6,-32,-6,-32,-6,-33,-5,-34,-5,-35,-5,-35,-4,-35,-4,-35,-3,-35,-2,-35,-1,-35,0,-35,0,-34,1,-35,2,-35,3,-36,1,-12,0,-3,-1,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,4,31,20,30,21,30,23,29,24,27,24,26,23,26,23,25,24,24,25,23,26,24,27,24,27,23,28,22,27,21,27,21,28,21,28,19,26,18,24,17,25,17,25,17,25,17,24,17,25,18,25,18,25,17,25,18,22,19,22,19,22,20,22,20,21,20,20,20,19,20,19,20,19,21,19,22,18,22,18,22,18,23,18,24,18,24,17,24,17,24,16,24,15,24,14,25,14,24,14,24,13,25,13,26,12,26,12,26,16,28,16,29,16,28,16,3,1]"""
"CSI_DATA,1876,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81340460,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,1,-4,4,-14,4,-15,4,-15,4,-15,3,-14,3,-14,3,-14,3,-14,2,-14,2,-14,1,-14,1,-15,1,-14,1,-14,1,-14,0,-14,0,-14,-1,-13,-1,-14,-1,-13,-1,-13,-1,-13,-2,-13,-2,-14,-2,-14,-2,-15,-2,-8,-3,-15,-3,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-15,-4,-16,-5,-16,-5,-16,-5,-16,-4,-16,-4,-17,-4,-18,-4,-18,-3,-18,-3,-18,-2,-18,-2,-18,-2,-17,-1,-17,-1,-18,-1,-18,-1,-18,0,-5,0,0,0,0,0,0,0,0,-1,-1,1,-3,15,-24,15,-25,14,-26,13,-26,10,-26,10,-27,10,-27,9,-26,8,-26,7,-25,7,-25,6,-25,6,-25,5,-25,5,-26,4,-27,4,-26,4,-25,3,-25,2,-27,2,-27,1,-25,0,-25,0,-24,0,-24,0,-25,-1,-25,-2,-26,-3,-27,-3,-28,-2,-28,-5,-27,-5,-27,-6,-28,-6,-28,-6,-28,-6,-28,-6,-28,-6,-28,-6,-29,-6,-30,-6,-31,-6,-30,-6,-31,-6,-32,-5,-33,-5,-33,-4,-33,-4,-33,-4,-33,-3,-33,-2,-33,-2,-32,-1,-32,0,-32,1,-33,1,-33,0,-9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,6,5,26,24,25,25,24,26,23,27,22,27,21,27,20,27,19,28,19,28,18,29,18,30,18,30,17,30,16,29,16,29,16,30,15,29,14,27,14,26,13,26,14,26,14,26,13,25,13,25,14,26,15,26,14,26,14,23,15,23,16,23,17,22,17,22,16,22,17,21,17,20,17,20,19,20,19,19,19,19,20,19,21,19,21,19,22,19,22,18,22,17,22,16,22,15,23,15,23,15,23,14,24,14,24,14,24,14,24,17,25,17,26,17,25,17,3,2]"""
"CSI_DATA,1877,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,0,-96,0,11,2,81391457,0,47,0,384,1,""[47,-16,2,0,0,0,0,0,0,0,-3,-4,-9,-14,-10,-14,-10,-14,-10,-14,-9,-13,-9,-13,-10,-13,-10,-12,-10,-12,-10,-11,-11,-12,-11,-12,-11,-12,-10,-11,-10,-11,-11,-11,-11,-11,-11,-10,-12,-9,-11,-9,-11,-9,-11,-9,-12,-9,-13,-9,-13,-10,-13,-10,-7,-5,-14,-9,-14,-10,-14,-10,-14,-9,-14,-9,-14,-9,-14,-9,-15,-9,-15,-9,-15,-10,-15,-10,-15,-10,-15,-10,-15,-10,-16,-11,-16,-12,-16,-12,-16,-12,-15,-13,-15,-13,-14,-13,-14,-13,-13,-13,-13,-14,-13,-14,-13,-15,-3,-4,0,0,0,0,0,0,0,0,-1,-1,-2,-4,-10,-30,-11,-30,-12,-31,-13,-30,-15,-27,-15,-27,-15,-27,-16,-27,-16,-25,-16,-25,-16,-24,-16,-24,-16,-23,-16,-23,-17,-23,-19,-24,-18,-23,-18,-22,-18,-22,-19,-23,-20,-22,-19,-20,-19,-19,-19,-19,-19,-19,-19,-19,-20,-18,-21,-18,-22,-19,-24,-19,-23,-21,-24,-18,-24,-18,-25,-18,-26,-18,-25,-18,-25,-19,-25,-19,-25,-19,-26,-19,-27,-20,-27,-21,-27,-20,-28,-21,-28,-22,-28,-23,-27,-24,-27,-24,-27,-25,-26,-25,-25,-26,-24,-27,-23,-26,-23,-26,-23,-27,-22,-29,-21,-30,-6,-8,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,8,-5,37,-16,38,-15,38,-13,39,-12,38,-11,38,-9,37,-8,37,-6,37,-5,37,-5,38,-5,39,-4,39,-4,37,-3,37,-2,37,-1,37,0,34,0,33,0,33,0,33,0,32,0,32,0,32,0,33,0,33,-1,33,2,30,-2,31,-2,31,-3,31,-4,30,-3,30,-3,29,-3,29,-4,30,-4,30,-6,30,-7,29,-8,30,-8,30,-8,30,-9,31,-9,30,-9,30,-10,29,-11,28,-11,28,-11,28,-11,28,-12,28,-13,28,-13,29,-13,31,-10,32,-11,33,-11,32,-10,3,-2]"""
